id_leitura;data_leitura;id_sensor;tipo_equipamento;temp_ambiente;temp_processo;rotacao_rpm;pressao_hidraulica_bar;vibracao_acumulada;status_falha;alerta_fadiga_material;alerta_sobreaquecimento;alerta_pressao_critica;alerta_sobrecarga_eixo;alerta_falha_eletronica;observacoes_operador
86;04/01/2024 13:00;M14945;M;2990;3090;18040;268;17;0;0;0;0;0;0;
87;04/01/2024 14:00;H29500;H;2990;3090;14360;439;20;0;0;0;0;0;0;
88;04/01/2024 15:00;L47267;L;2990;3090;15440;318;25;0;0;0;0;0;0;
89;04/01/2024 16:00;M14948;M;2990;3090;14190;452;27;0;0;0;0;0;0;
90;04/01/2024 17:00;M14949;M;2989;3089;14870;395;30;0;0;0;0;0;0;
91;04/01/2024 18:00;L47270;L;2989;3089;17530;258;33;0;0;0;0;0;0;
92;04/01/2024 19:00;L47271;L;2989;3089;18300;249;35;0;0;0;0;0;0;
93;04/01/2024 20:00;M14952;M;2989;3089;17270;271;37;0;0;0;0;0;0;
94;04/01/2024 21:00;L47273;L;2991;3090;14500;430;40;0;0;0;0;0;0;
95;04/01/2024 22:00;L47274;L;2990;3089;16220;319;42;0;0;0;0;0;0;
96;04/01/2024 23:00;M14955;M;2990;3090;13510;522;44;0;0;0;0;0;0;
97;05/01/2024 00:00;M14956;M;2990;3090;15750;353;47;0;0;0;0;0;0;
98;05/01/2024 01:00;M14957;M;2989;3089;17500;299;50;0;0;0;0;0;0;
99;05/01/2024 02:00;L47278;L;2989;3088;15290;;53;0;0;0;0;0;0;
100;05/01/2024 03:00;L47279;L;2988;3088;15230;444;55;0;0;0;0;0;0;
101;05/01/2024 03:59;L47280;L;2988;3089;18520;;57;0;0;0;0;0;0;
102;05/01/2024 04:59;L47281;L;2988;3088;19910;207;59;0;0;0;0;0;0;
103;05/01/2024 05:59;L47282;L;2988;3088;15550;406;61;0;0;0;0;0;0;
104;05/01/2024 06:59;M14963;M;2988;3088;14410;405;63;0;0;0;0;0;0;
105;05/01/2024 07:59;L47284;L;2988;3087;14500;434;66;0;0;0;0;0;0;
106;05/01/2024 08:59;L47285;L;298,8;3087;15910;311;68;0;0;0;0;0;0;
107;05/01/2024 09:59;L47286;L;2988;3087;14450;485;70;0;0;0;0;0;0;
108;05/01/2024 10:59;M14967;M;2988;3088;14970;468;72;0;0;0;0;0;0;
109;05/01/2024 11:59;H29522;H;2989;3088;16210;327;75;0;0;0;0;0;0;
110;05/01/2024 12:59;L47289;L;2989;3087;15720;341;80;0;0;0;0;0;0;
111;05/01/2024 13:59;L47290;L;2988;3086;18720;225;82;0;0;0;0;0;0;
112;05/01/2024 14:59;H29525;H;2987;3086;14990;435;84;0;0;0;0;0;0;
113;05/01/2024 15:59;M14972;M;2988;3087;14980;395;89;0;0;0;0;0;0;
114;05/01/2024 16:59;M14973;M;2988;3086;14860;419;92;0;0;0;0;0;0;
115;05/01/2024 17:59;L47294;L;2988;3086;16800;294;95;0;0;0;0;0;0;
116;05/01/2024 18:59;L47295;low;2988;3086;14310;457;97;0;0;0;0;0;0;
117;05/01/2024 19:59;L47296;L;2989;3087;15640;341;99;0;0;0;0;0;0;
118;05/01/2024 20:59;L47297;L;2988;3086;15990;330;101;0;0;0;0;0;0;
119;05/01/2024 21:59;M14978;M;2988;3086;17070;281;103;0;0;0;0;0;0;
120;05/01/2024 22:59;L47299;L;2987;3085;14670;407;106;0;0;0;0;0;0;
121;05/01/2024 23:59;L47300;L;2989;3087;14330;447;108;0;0;0;0;0;0;
122;06/01/2024 00:59;L47301;L;2989;3087;15580;412;110;0;0;0;0;0;0;
123;06/01/2024 01:59;L47302;L;2990;3088;13100;507;112;0;0;0;0;0;0;
124;06/01/2024 02:59;L47303;L;2989;3087;15460;434;114;0;0;0;0;0;0;
125;06/01/2024 03:59;L47304;L;2989;3087;17270;294;116;0;0;0;0;0;0;
126;06/01/2024 04:59;L47305;L;2989;3086;15600;322;118;0;0;0;0;0;0;
127;06/01/2024 05:59;L47306;L;2990;3086;13290;605;120;0;0;0;0;0;0;
128;06/01/2024 06:59;L47307;L;2989;3086;14130;465;122;0;0;0;0;0;0;
129;06/01/2024 07:59;L47308;L;2990;3086;15870;;124;0;0;0;0;0;0;
130;06/01/2024 08:59;L47309;L;2989;3085;15590;343;126;0;0;0;0;0;0;
131;06/01/2024 09:59;L47310;L;2988;3084;14730;411;128;0;0;0;0;0;0;
132;06/01/2024 10:59;L47311;L;2988;3084;17370;277;130;0;0;0;0;0;0;Verificar vibração
133;06/01/2024 11:59;M14992;M;2987;3084;14410;432;132;0;0;0;0;0;0;
134;06/01/2024 12:59;M14993;M;2987;3084;14300;496;135;0;0;0;0;0;0;
135;06/01/2024 13:59;L47314;L;2988;3084;13690;530;138;0;0;0;;0;0;
136;06/01/2024 14:59;M14995;M;2988;3085;17110;285;140;0;0;0;0;0;0;
137;06/01/2024 15:59;H29550;H;2987;3085;14200;457;143;0;0;0;0;0;0;
138;06/01/2024 16:59;L47317;L;2987;3086;12970;553;148;0;0;0;0;0;0;
139;06/01/2024 17:59;H29552;H;2988;3086;14490;494;150;0;0;0;0;0;0;
140;06/01/2024 18:59;L47319;L;2988;3086;12680;558;155;0;0;0;0;0;0;
141;06/01/2024 19:59;L47320;L;2988;3086;15110;361;157;0;0;0;0;0;0;
142;06/01/2024 20:59;L47321;L;2987;3085;15440;352;159;0;0;0;0;0;0;
143;06/01/2024 21:59;M15002;M;2986;3084;17780;282;161;0;0;0;0;0;0;
144;06/01/2024 22:59;H29557;H;2986;3084;14070;505;164;0;0;0;0;0;0;
145;06/01/2024 23:59;M15004;M;2986;3084;13910;424;169;0;0;0;0;0;0;
146;07/01/2024 00:59;L47325;L;2985;3084;15130;;172;0;0;0;0;0;0;
147;07/01/2024 01:59;H29560;H;2985;3084;16120;361;174;0;0;0;0;0;0;
148;07/01/2024 02:59;L47327;L;2984;3084;15150;401;179;0;0;0;0;0;0;
149;07/01/2024 03:59;M15008;M;2983;3083;13790;480;181;0;0;0;0;0;0;
150;07/01/2024 04:59;L47329;L;2984;3083;14730;399;184;0;0;0;0;0;0;
151;07/01/2024 05:59;L47330;L;2984;3083;14220;427;186;0;0;0;0;0;0;
152;07/01/2024 06:59;M15011;M;2984;3082;14630;376;188;0;0;0;0;0;0;
153;07/01/2024 07:59;M15012;M;2984;3082;15840;410;191;0;0;0;0;0;0;
154;07/01/2024 08:59;L47333;L;2984;3082;18500;270;194;0;0;0;0;0;0;
155;07/01/2024 09:59;L47334;L;2984;3082;15280;362;196;0;0;0;0;0;0;
156;07/01/2024 10:59;H29569;H;2984;3082;19870;198;198;0;0;0;0;0;0;
157;07/01/2024 11:59;M15016;M;2984;3081;14950;460;203;0;0;0;0;0;0;
158;07/01/2024 12:59;H29571;H;2984;3082;14780;435;206;0;0;0;0;0;0;
159;07/01/2024 13:59;M15018;M;2984;3082;14990;400;211;0;0;0;0;0;0;
160;07/01/2024 14:59;L47339;L;2984;3082;14710;470;214;0;0;0;0;0;0;
161;07/01/2024 15:59;L47340;L;2984;3082;12820;607;216;1;0;0;0;1;0;
162;07/01/2024 16:59;L47341;L;2983;3081;14120;523;218;1;0;0;0;1;0;
163;07/01/2024 17:59;L47342;L;2983;3081;15860;355;0;0;0;0;0;0;0;
164;07/01/2024 18:59;M15023;M;2984;3082;14680;438;2;0;0;0;0;0;0;
165;07/01/2024 19:59;M15024;M;2985;3083;14400;436;5;0;0;0;0;0;0;
166;07/01/2024 20:59;L47345;L;2985;3084;17330;260;8;0;0;0;0;0;0;
167;07/01/2024 21:59;H29580;H;2984;3082;16120;326;10;0;0;0;0;0;0;
168;07/01/2024 22:59;H29581;H;2984;3083;14580;429;15;0;0;0;0;0;0;
169;07/01/2024 23:59;L47348;L;2984;3083;14330;;20;1;0;0;10;0;0;
170;08/01/2024 00:59;L47349;L;2984;3083;13180;591;22;0;0;0;0;0;0;
171;08/01/2024 01:59;M15030;M;2984;3082;16100;350;24;0;0;0;0;0;0;
172;08/01/2024 02:59;L47351;L;2982;3081;14620;;27;0;0;0;0;0;0;
173;08/01/2024 03:59;M15032;M;2981;3080;19240;208;29;0;0;0;0;0;0;Verificar vibração
174;08/01/2024 04:59;M15033;M;2982;3080;15910;337;32;0;0;0;0;0;0;
175;08/01/2024 05:59;L47354;L;2982;3081;13060;583;35;0;0;0;0;0;0;
176;08/01/2024 06:59;L47355;L;2982;3081;13820;435;37;0;0;0;0;0;0;
177;08/01/2024 07:59;L47356;L;2982;3081;16180;347;39;0;0;0;0;0;0;
178;08/01/2024 08:59;L47357;L;2982;3082;19880;214;41;0;0;0;0;0;0;Verificar vibração
179;08/01/2024 09:59;L47358;L;2982;3082;14360;502;43;0;0;0;0;0;0;
180;08/01/2024 10:59;L47359;L;2982;3083;13040;498;45;0;0;0;0;0;0;
181;08/01/2024 11:59;L47360;L;2982;3083;14750;499;47;0;0;0;0;0;0;
182;08/01/2024 12:59;H29595;H;2982;3083;18240;242;49;0;0;0;0;0;0;
183;08/01/2024 13:59;M15042;M;2981;3082;13420;481;54;0;0;0;0;0;0;
184;08/01/2024 14:59;L47363;L;2981;3082;14850;407;57;0;0;0;0;0;0;
185;08/01/2024 15:59;L47364;L;2982;3082;16670;306;59;0;0;0;0;0;0;
186;08/01/2024 16:59;L47365;L;2982;3082;14460;382;61;0;0;0;0;0;0;
187;08/01/2024 17:59;L47366;L;2981;3083;13010;560;63;0;0;0;0;0;0;
188;08/01/2024 18:59;L47367;L;2982;3084;13790;431;65;0;0;0;0;0;0;
189;08/01/2024 19:59;L47368;L;2983;3085;16060;336;67;0;0;0;0;0;0;
190;08/01/2024 20:59;M15049;M;2983;3084;15390;434;69;0;0;0;0;0;0;Verificar vibração
191;08/01/2024 21:59;L47370;L;2982;3084;14770;499;72;0;0;0;0;0;0;
192;08/01/2024 22:59;L47371;L;2982;3084;16660;346;74;0;0;0;0;0;0;
193;08/01/2024 23:59;H29606;H;2982;3084;13980;518;76;0;0;0;0;0;0;
194;09/01/2024 00:59;H29607;H;2982;3084;16780;346;81;0;0;0;0;0;0;
195;09/01/2024 01:59;M15054;M;2982;3085;26780;107;86;1;0;0;10;0;0;
196;09/01/2024 02:59;L47375;L;2983;3085;14530;429;89;0;0;0;0;0;0;
197;09/01/2024 03:59;H29610;H;2983;3086;14320;495;91;0;0;0;0;0;0;
198;09/01/2024 04:59;M15057;M;2984;3086;15270;409;96;0;0;0;0;0;0;
199;09/01/2024 05:59;L47378;L;2984;3087;15880;350;99;0;0;0;0;0;0;
200;09/01/2024 06:59;L47379;L;2984;3086;14330;471;101;0;0;0;0;0;0;
201;09/01/2024 07:59;L47380;L;2984;3086;16090;350;103;0;0;0;0;0;0;
202;09/01/2024 08:59;L47381;L;2983;3085;15750;412;105;0;0;0;0;0;0;
203;09/01/2024 09:59;M15062;M;2984;3085;16360;357;107;0;0;0;0;0;0;
204;09/01/2024 10:59;L47383;L;2984;3085;14900;379;110;0;0;0;0;0;0;
205;09/01/2024 11:59;L47384;L;2984;3085;17410;328;112;0;0;0;0;0;0;
206;09/01/2024 12:59;M15065;M;2985;3086;13440;;114;0;0;0;0;0;0;
207;09/01/2024 13:59;L47386;L;2985;3087;16090;353;117;0;0;0;0;0;0;
208;09/01/2024 14:59;M15067;M;2984;3087;14210;607;119;1;0;0;10;0;0;
209;09/01/2024 15:59;L47388;L;2984;3086;15910;;122;0;0;0;0;0;0;
210;09/01/2024 16:59;L47389;L;2984;3086;14770;440;124;0;0;0;0;0;0;
211;09/01/2024 17:59;L47390;L;2984;3087;15230;361;126;0;0;0;0;0;0;
212;09/01/2024 18:59;L47391;L;2985;3087;15750;339;128;0;0;0;0;0;0;Verificar vibração
213;09/01/2024 19:59;H29626;H;2984;3087;13440;529;130;0;0;0;0;0;0;
214;09/01/2024 20:59;L47393;L;2984;3087;13860;449;135;0;0;0;0;0;0;
215;09/01/2024 21:59;M15074;M;2983;3086;15890;371;137;0;0;0;0;0;0;
216;09/01/2024 22:59;L47395;L;2983;3086;15480;403;140;0;0;0;0;0;0;
217;09/01/2024 23:59;L47396;L;2983;3086;14990;383;142;0;0;0;0;0;0;
218;10/01/2024 00:59;L47397;L;2983;3085;16640;316;144;0;0;0;0;0;0;
219;10/01/2024 01:59;L47398;L;2983;3086;14470;381;146;0;0;0;0;0;0;
220;10/01/2024 02:59;M15079;M;2983;3085;14340;462;148;0;0;0;0;0;0;
221;10/01/2024 03:59;L47400;L;2983;3085;14160;527;151;0;0;0;0;0;0;
222;10/01/2024 04:59;H29635;H;2984;3085;18270;243;153;0;0;0;0;0;0;
223;10/01/2024 05:59;L47402;L;2984;3086;13040;450;158;0;0;0;0;0;0;
224;10/01/2024 06:59;L47403;L;2984;3086;15690;344;160;0;0;0;0;0;0;
225;10/01/2024 07:59;L47404;L;2983;3086;15840;293;162;0;0;0;0;0;0;
226;10/01/2024 08:59;L47405;L;2983;3085;13620;538;164;0;0;0;0;0;0;
227;10/01/2024 09:59;L47406;L;2983;3084;13290;492;166;0;0;0;0;0;0;
228;10/01/2024 10:59;L47407;L;2983;3085;15390;361;168;0;0;0;0;0;0;
229;10/01/2024 11:59;M15088;M;2983;3085;16290;371;170;0;0;0;0;0;0;
230;10/01/2024 12:59;L47409;L;2983;3085;15380;322;173;0;0;;0;0;0;
231;10/01/2024 13:59;L47410;L;2983;3086;15700;348;175;0;0;0;0;0;0;
232;10/01/2024 14:59;L47411;L;2983;3084;14080;431;177;0;0;0;0;0;0;
233;10/01/2024 15:59;L47412;L;2982;3084;14240;476;179;0;0;0;0;0;0;
234;10/01/2024 16:59;L47413;L;2982;3084;15120;349;181;0;0;0;0;0;0;
235;10/01/2024 17:59;L47414;L;2982;3084;14780;429;183;0;0;0;0;0;0;
236;10/01/2024 18:59;M15095;M;2981;3083;16800;337;185;0;0;0;0;0;0;Verificar vibração
237;10/01/2024 19:59;L47416;L;2981;3083;14950;387;188;0;0;0;0;0;0;
238;10/01/2024 20:59;M15097;M;2980;3081;15520;;190;0;0;0;0;0;0;
239;10/01/2024 21:59;L47418;L;2979;3081;13930;503;193;0;0;0;0;0;0;
240;10/01/2024 22:59;L47419;L;2980;3082;16110;306;195;0;0;0;0;0;0;
241;10/01/2024 23:59;M15100;M;2980;3081;13390;516;197;0;0;0;0;0;0;
242;11/01/2024 00:59;L47421;L;2980;3081;17770;243;200;0;0;0;0;0;0;
243;11/01/2024 01:59;L47422;L;2980;3082;13480;588;202;1;0;0;0;1;0;
244;11/01/2024 02:59;L47423;L;2980;3082;14420;441;204;0;0;0;0;0;0;
245;11/01/2024 03:59;M15104;M;2980;3082;13950;;206;0;;0;0;0;0;
246;11/01/2024 04:59;M15105;M;2979;3081;16270;314;209;0;0;0;0;0;0;
247;11/01/2024 05:59;L47426;L;2979;3081;15850;335;212;0;0;0;0;0;0;
248;11/01/2024 06:59;L47427;L;2980;3082;14690;455;214;0;0;0;0;0;0;
249;11/01/2024 07:59;L47428;L;2980;3083;13620;568;216;1;0;0;0;1;0;
250;11/01/2024 08:59;L47429;L;2980;3083;14050;562;218;1;0;0;0;1;0;
251;11/01/2024 09:59;L47430;L;2980;3083;16620;327;0;0;0;0;0;0;0;
252;11/01/2024 10:59;M15111;M;2980;3082;14660;426;2;0;0;0;0;0;0;
253;11/01/2024 11:59;L47432;L;2980;3082;16200;358;5;0;0;0;0;0;0;
254;11/01/2024 12:59;L47433;L;2980;3082;13570;482;7;0;0;0;0;0;0;
255;11/01/2024 13:59;L47434;L;2980;3082;15140;379;9;0;0;0;0;0;0;
256;11/01/2024 14:59;L47435;L;2980;3082;14890;404;11;0;0;0;0;0;0;
257;11/01/2024 15:59;L47436;L;2981;3083;13310;630;13;0;0;0;0;0;0;
258;11/01/2024 16:59;L47437;L;2980;3080;16150;295;15;0;0;0;0;0;0;
259;11/01/2024 17:59;L47438;L;2981;3082;14820;379;17;0;0;0;0;0;0;
260;11/01/2024 18:59;M15119;M;2981;3082;14200;639;19;1;0;0;10;0;0;
261;11/01/2024 19:59;M15120;M;2982;3083;15220;491;22;0;0;0;0;0;0;
262;11/01/2024 20:59;L47441;L;2981;3082;16540;321;25;0;0;0;0;0;0;
263;11/01/2024 21:59;M15122;M;2981;3082;17360;268;27;0;0;0;;0;0;
264;11/01/2024 22:59;M15123;M;2980;3081;15870;323;30;0;0;0;0;0;0;
265;11/01/2024 23:59;L47444;L;2981;3082;13900;475;33;0;0;0;0;0;0;
266;12/01/2024 00:59;L47445;L;2980;3081;14540;371;35;0;0;0;0;0;0;
267;12/01/2024 01:59;H29680;H;2980;3081;14400;437;37;0;0;0;0;0;0;
268;12/01/2024 02:59;L47447;L;2979;3080;19540;211;42;0;0;0;0;0;0;
269;12/01/2024 03:59;H29682;H;2979;3080;18000;248;44;0;0;0;0;0;0;
270;12/01/2024 04:59;L47449;L;2980;3080;15240;370;49;0;0;0;0;0;0;
271;12/01/2024 05:59;H29684;H;2980;3080;15200;396;51;0;0;0;0;0;0;
272;12/01/2024 06:59;M15131;M;2981;3081;14520;408;56;0;0;0;0;0;0;
273;12/01/2024 07:59;L47452;L;2981;3081;14840;404;59;0;0;0;0;0;0;
274;12/01/2024 08:59;L47453;L;2981;3080;14260;460;61;0;0;0;0;0;0;
275;12/01/2024 09:59;L47454;L;2981;3080;16520;285;63;0;0;0;0;0;0;
276;12/01/2024 10:59;L47455;L;2980;3080;14010;547;65;0;0;0;0;0;0;
277;12/01/2024 11:59;M15136;M;2980;3079;17500;266;67;0;0;0;0;0;0;
278;12/01/2024 12:59;H29691;H;2980;3080;14790;507;70;0;0;0;0;0;0;
279;12/01/2024 13:59;M15138;M;2980;3080;16200;294;75;0;0;0;;0;0;
280;12/01/2024 14:59;L47459;L;2980;3081;18190;234;78;0;0;0;0;0;0;Verificar vibração
281;12/01/2024 15:59;M15140;M;2981;3081;14560;437;80;0;0;0;0;0;0;
282;12/01/2024 16:59;L47461;L;2981;3080;16260;365;83;0;0;0;0;0;0;
283;12/01/2024 17:59;M15142;M;2981;3081;13900;498;85;0;0;0;0;0;0;
284;12/01/2024 18:59;L47463;L;2982;3082;14690;430;88;0;0;0;0;0;0;
285;12/01/2024 19:59;L47464;L;2982;3083;20510;192;90;0;0;0;0;0;0;
286;12/01/2024 20:59;L47465;L;2982;3083;15680;;92;0;0;0;0;0;0;
287;12/01/2024 21:59;L47466;L;2982;3083;15890;332;94;0;0;0;0;0;0;
288;12/01/2024 22:59;L47467;L;2982;3083;18050;316;96;0;0;0;0;0;0;
289;12/01/2024 23:59;H29702;H;2982;3084;13850;422;98;0;0;0;0;0;0;
290;13/01/2024 00:59;L47469;L;2981;3084;14360;467;103;0;0;0;0;0;0;
291;13/01/2024 01:59;L47470;L;2981;3084;14380;;105;0;0;0;0;0;0;
292;13/01/2024 02:59;L47471;L;2980;3083;14730;;107;0;0;0;0;0;0;
293;13/01/2024 03:59;L47472;L;2981;3084;13350;402;109;0;0;0;0;0;0;
294;13/01/2024 04:59;H29707;H;2981;3085;13920;448;111;0;0;0;;0;0;
295;13/01/2024 05:59;M15154;M;2981;3085;13720;511;116;0;0;0;0;0;0;
296;13/01/2024 06:59;M15155;M;2981;3086;17160;307;119;0;0;0;0;0;0;
297;13/01/2024 07:59;L47476;L;2980;3085;13950;462;122;0;0;0;0;0;0;
298;13/01/2024 08:59;L47477;L;2980;3085;17130;253;124;0;0;0;0;0;0;
299;13/01/2024 09:59;H29712;H;2979;3085;21290;187;126;0;0;0;0;0;0;
300;13/01/2024 10:59;M15159;M;2978;3083;15670;356;131;0;0;0;0;0;0;
301;13/01/2024 11:59;L47480;L;2978;3084;16220;383;134;0;0;0;0;0;0;
302;13/01/2024 12:59;L47481;L;2977;3084;17400;271;136;0;0;0;0;0;0;
303;13/01/2024 13:59;H29716;H;2978;3084;15120;351;138;0;0;0;0;0;0;
